airport name,airport code
AUSTIN-BERGSTROM INTL,ABI
OAKLAND/TROY ARPT,KVL
BURLINGTON INTL,BTV
KODIAK AIRPORT,ADQ
NAPA COUNTY ARPT,APC
EXECUTIVE ARPT,FXE
WHITEMAN AIRPORT,WHP
SCHOLES INTL ARPT AT GALVESTON,GLS
ADAMS FIELD ARPT,LIT
MONTGOMERY FIELD ARPT,MGM
PHOENIX DEER VALLEY ARPT,DVT
SKYLARK FIELD,ILE
GREATER BINGHAMTON ARPT,BGM
KLEBERG COUNTY ARPT,KIK
JOPLIN REGIONAL,JLN
JONESBORO MUNICIPAL ARPT,JBR
HONOLULU INTL ARPT,HNL
EGLIN AFB/NW FLORIDA REGIONAL ARPT,VPS
SIOUX GATEWAY ARPT,SUX
SAN ANTONIO INTL,SAT
VALLEY INTL,HRL
JACKSON HOLE,JAC
JOHN WAYNE AIRPORT,SNA
DILLINGHAM AIRFIELD,HDH
SHREVEPORT REGIONAL,SHV
MCMINN COUNTY ARPT,MMI
CUYAHOGA COUNTY ARPT,CGF
MANCHESTER AIRPORT,MAN
PORTLAND INTL JETPORT (ME),PWM
JEFFERSON CITY MEMORIAL ARPT,JEF
NW ARKANSAS REGIONAL,XNA
WICHITA MID-CONTINENT ARPT,ICT
TYLER POUNDS FIELD,TYR
ADDISON,ADS
OWENSBORO-DAVIESS,OWB
ATLANTIC CITY INTL,ACY
LONG ISLAND MAC ARTHUR,ISP
ELLINGTON FIELD ARPT,EFD
LANCASTER ARPT (PA),LNS
AQUASCALIENTES,AGU
NORTHEAST PHILADELPHIA ARPT,PNE
LINCOLN MUNICIPAL,LNK
SAN CARLOS ARPT,SQL
IGOR I SIKORSKY MEMORIAL,BDR
MORGANTOWN MUNICIPAL ARPT,MGW
SITKA ROCKY GUTIERREZ ARPT,SIT
GAINESVILLE REG ARPT,GNV
TRI-CITIES REGIONAL TN/VA ARPT,TRI
ALLEGHENY COUNTY ARPT,AGC
JACKSONVILLE INTL,JAX
PIERRE REGIONAL ARPT,PIR
NEWPORT NEWS/WILLIAMSBURG INTL,PHF
MANLEY HOT SPRINGS ARPT,MLY
RICHMOND INTL,RIC
KISSIMMEE GATEWAY ARPT,ISM
VERO BEACH MUNICIPAL,VRB
WAYNE MUNICIPAL ARPT,SNA
ROCK SPRINGS-SWEETWATER CO,RKS
LA CROSSE MUNICIPAL AIRPORT,LSE
RICHARD LLOYD JONES JR ARPT,RVS
HEWANORRA ST LUCIA,UVF
BUTLER COUNTY REGIONAL,HAO
SPRINGFIELD-BRANSON NATIONAL,SGF
ABRAHAM LINCOLN CAPITAL ARPT,SPI
BUCHOLZ AAF MARSHALL,KWA
CENTRAL NEBRASKA REGIONAL,GRI
TAMPA INTL,TPA
WORCESTER REGIONAL,ORH
MEMORIAL FIELD,HOT
KAHULUI ARPT,OGG
SANTIAGO INTL,SCL
OAKLAND COUNTY INTL,PTK
JOHN C TUNE ARPT,KJW
FORT LAUDERDALE EXECUTIVE ARPT,FXE
L F WADE INTL ARPT,BDA
MELBOURNE INTL,MLB
BISMARCK MUNICIPAL ARPT,BIS
MINOT INTL AIRPORT,MOT
SLIDELL AIRPORT,KAS
WALLBLAKE,AXA
GREAT FALLS INTL,GTF
BRAINERD-CROW WING,BRD
BLUE GRASS ARPT,LEX
ROGUE VALLEY INTL,MFR
STUTTGART MUNICIPAL ARPT,STR
LAWTON-FORT SILL REGIONAL ARPT,LAW
YAMPA VALLEY,HDN
COLONEL JAMES JABARA ARPT,KAA
MIDLAND INTL,MAF
MALCOLM MCKINNON ARPT,SSI
MILLARD ARPT,MIQ
ROCK COUNTY,KRB
MARTIN STATE ARPT,MTN
BUCHANAN FLD,CCR
BOIRE FIELD,ASH
VALDOSTA REGIONAL,VLD
MANASSAS REGIONAL ARPT,MNZ
ERIE INTL,ERI
CINCINNATI MUNI ARPT-LUNKEN FIELD,LUK
SACRAMENTO MATHER ARPT,MHR
LUIS MUNOZ MARIN INTL -SAN JUAN,SJU
MOLOKAI ARPT,MKK
MCGHEE TYSON ARPT,TYS
ST. PETERSBURG/CLEARWATER INTL,PIE
GRANT COUNTY ARPT,MWH
TORONTO/LESTER B. PEARSON INTL,YYZ
DANE COUNTY REGIONAL ARPT-TRUAX FLD,MSN
EDWARD G PITKA SR ARPT,GAL
UNIV OF ILLINOIS -WILLARD ARPT,CMI
ELKO REGIONAL ARPT,EKO
DEKALB-PEACHTREE ARPT,PDK
CHICAGO EXECUTIVE ARPT,PWK
FLORENCE REGIONAL,FLO
NORWOOD MEMORIAL ARPT,OWD
LIVERMORE MUNICIPAL ARPT,LVK
ROCKY MOUNT WILSON RGNL ARPT,RWI
TULSA INTL,TUL
BATON ROUGE METRO,BTR
WILLOUGHBY LOST NATION MUNI ARPT,LNN
WILKES-BARRE/SCRANTON INTL,AVP
HENDERSON FIELD,MDY
FALLS INTL ARPT,GTF
LUBBOCK INTL,LBB
AUGUSTA STATE,AUG
WILMINGTON INTL,ILM
JUNEAU INTL ARPT,JNU
RENO TAHOE INTL,RNO
ST AUGUSTINE,UST
MONTGOMERY REGIONAL ARPT,MGM
PORTLAND-HILLSBORO ARPT,HIO
PANGBORN MEMORIAL,EAT
TRI-CITIES,TRI
PURDUE UNIV ARPT,LAF
DAYTONA BEACH INTL,DAB
EASTERWOOD FIELD AIRPORT,CLL
MANAGUA INTL ARPT,MGA
HENRY E ROHLSEN ARPT,STX
IMPERIAL COUNTY ARPT,IPL
KLAMATH FALLS INTL,LMT
FAIRBANKS INTL ARPT,FAI
EUGENIO MARIA DE HOSTOS ARPT,MAZ
MISSOULA INTL ARPT,MSO
DUBUQUE REGIONAL ARPT,DBQ
SAND POINT ARPT,SDP
MONETT MUNICIPAL ARPT,KHF
WATERBURY-OXFORD ARPT,OXC
AKRON-CANTON MUNICIPAL,CAK
READING REGIONAL,RDG
COLUMBUS METRO,CSG
NANTUCKET MEMORIAL,ACK
ROCKY MOUNTAIN METROPOLITAN ARPT,BJC
COLUMBIA METRO,CAE
WILLIAMSPORT,IPT
BUSH FLD,AGS
INDIANAPOLIS METROPOLITAN ARPT,KUM
BISHOP INTL FLINT,FNT
BELLINGHAM INTL,BLI
BETZ ARPT,44G
NOGALES INTL ARPT,OLS
TOKYO INTL,HND
GANDER INTL,YQX
GOSHEN MUNICIPAL ARPT,GSH
ADAMS COUNTY- LEGION FIELD,63C
HAMILTON MUNICIPAL ARPT,YHM
FALCON FIELD ARPT,MSC
KAPALUA ARPT,JHM
BROWNSVL/SO PADRE IS,BRO
GUAM INTL ARPT,GUM
